Firing Cost;Value;Components
0;48212.2;Inventory_holding_cost
1000;37682.2;Inventory_holding_cost
2000;37682.2;Inventory_holding_cost
3000;37682.2;Inventory_holding_cost
4000;37142.2;Inventory_holding_cost
5000;37142.2;Inventory_holding_cost
6000;37142.2;Inventory_holding_cost
7000;37142.2;Inventory_holding_cost
8000;37682.2;Inventory_holding_cost
0;2809000.0;Salary_cost
1000;2824500.0;Salary_cost
2000;2824500.0;Salary_cost
3000;2824500.0;Salary_cost
4000;2836000.0;Salary_cost
5000;2836000.0;Salary_cost
6000;2836000.0;Salary_cost
7000;2836000.0;Salary_cost
8000;2842500.0;Salary_cost
0;0.0;Firing_cost
1000;51000.0;Firing_cost
2000;102000.0;Firing_cost
3000;153000.0;Firing_cost
4000;192000.0;Firing_cost
5000;240000.0;Firing_cost
6000;288000.0;Firing_cost
7000;336000.0;Firing_cost
8000;376000.0;Firing_cost